country,count
Scotland,696
Ireland,39
Sweden,47
Switzerland,8
Netherlands,2
Finland,6
Tasmania,5
Wales,6
Irish,1
Belgium,1
England,2
USA,10
Canada,8
India,31
Japan,58
Taiwan,15
Africa,0
