index,whisky,score,reviews,cost,class,cluster,country,type
69,Box PX - Pedro Ximí©nez Finish,8.94,6,5,SingleMalt-like,C,Sweden,Malt
70,GlenDronach Cask Strength (batch 3),8.94,7,4,SingleMalt-like,A,Scotland,Malt
71,GlenDronach Cask Strength (batch 4),8.93,12,4,SingleMalt-like,A,Scotland,Malt
72,Glengoyne 40yo,8.93,3,6,SingleMalt-like,A,Scotland,Malt
73,Macallan Cask Strength,8.93,16,6,SingleMalt-like,A,Scotland,Malt
74,BenRiach 17yo Solstice 1st Peated Port Finish,8.92,4,4,SingleMalt-like,C,Scotland,Malt
75,GlenDronach Cask Strength (batch 6),8.92,4,4,SingleMalt-like,A,Scotland,Malt
76,GlenDronach Cask Strength (all batches),8.91,19,4,SingleMalt-like,A,Scotland,Malt
77,Glenlivet XXV 25yo,8.91,11,6,SingleMalt-like,C,Scotland,Malt
78,Longrow Red 11yo Australian Shiraz,8.91,7,5,SingleMalt-like,C,Scotland,Malt
79,Aberlour A'Bunadh (Batch 46),8.9,4,4,SingleMalt-like,A,Scotland,Malt
80,Bowmore 15yo Laimrig,8.9,17,4,SingleMalt-like,C,Scotland,Malt
81,Highland Park 16yo Thor,8.9,12,6,SingleMalt-like,C,Scotland,Malt
82,Highland Park 21yo,8.9,16,6,SingleMalt-like,C,Scotland,Malt
83,Macallan 18yo Sherry Oak,8.9,19,6,SingleMalt-like,A,Scotland,Malt
84,Amrut Kadhambam,8.89,14,4,SingleMalt-like,C,India,Malt
85,Amrut PX Sherry Single Cask 3516 (SAQ),8.88,6,4,SingleMalt-like,B,India,Malt
86,GlenDronach 15yo Revival,8.88,22,4,SingleMalt-like,A,Scotland,Malt
87,Glengoyne 21yo,8.88,17,5,SingleMalt-like,A,Scotland,Malt
88,Laphroaig Cairdeas 2013 Port Wood,8.88,14,4,SingleMalt-like,C,Scotland,Malt
89,Macallan 10yo Sherry Oak Cask Strength,8.88,6,6,SingleMalt-like,A,Scotland,Malt
90,Aberlour A'Bunadh (Batch 34),8.87,5,4,SingleMalt-like,A,Scotland,Malt
91,Kavalan Brandy Oak,8.87,3,5,SingleMalt-like,A,Taiwan,Malt
92,Kilchoman Loch Gorm,8.87,21,4,SingleMalt-like,C,Scotland,Malt
93,Kilchoman PX Sherry Finish,8.87,7,5,SingleMalt-like,C,Scotland,Malt
94,Scallywag 13yo,8.87,4,4,SingleMalt-like,B,Switzerland,Malt
95,Springbank 12yo Cask Strength,8.87,19,4,SingleMalt-like,C,Scotland,Malt
96,White Oak Akashi 14yo,8.87,3,6,SingleMalt-like,C,Japan,Malt
97,Aberlour A'Bunadh (Batch 58),8.86,3,4,SingleMalt-like,A,Scotland,Malt
98,AnCnoc 1975,8.86,4,6,SingleMalt-like,B,Scotland,Malt
99,Glenlivet Nadurra 16yo,8.86,23,4,SingleMalt-like,C,Scotland,Malt
100,Balblair 1990 Second Release,8.85,11,5,SingleMalt-like,C,Scotland,Malt
101,Bunnahabhain 25yo,8.85,16,6,SingleMalt-like,B,Scotland,Malt
102,GlenDronach 12yo Sauternes Cask Finish,8.85,6,4,SingleMalt-like,A,Scotland,Malt
103,Glenmorangie Companta,8.85,14,5,SingleMalt-like,C,Scotland,Malt
104,Longrow Red 12yo Pinot Noir Finish,8.85,7,5,SingleMalt-like,C,Scotland,Malt
105,Smogen Sherry Project 1:2,8.85,3,4,SingleMalt-like,C,Sweden,Malt
106,BenRiach 18yo Latada,8.84,7,5,SingleMalt-like,B,Scotland,Malt
107,Bowmore 25yo,8.84,9,6,SingleMalt-like,C,Scotland,Malt
108,Macallan 25yo Sherry Oak,8.84,8,6,SingleMalt-like,A,Scotland,Malt
109,Smogen Sherry Project 1:4,8.84,5,4,SingleMalt-like,C,Sweden,Malt
110,Highland Park Full Volume,8.83,9,4,SingleMalt-like,C,Scotland,Malt
111,Longmorn 15yo,8.83,8,5,SingleMalt-like,C,Scotland,Malt
112,Aberlour 12yo Non-Chill-Filtered,8.82,13,3,SingleMalt-like,B,Scotland,Malt
113,Aberlour A'Bunadh (Batch 32),8.82,4,4,SingleMalt-like,A,Scotland,Malt
114,Compass Box This is Not a Luxury Whisky,8.82,13,5,SingleMalt-like,C,Scotland,Malt
115,Glengoyne Teapot Dram (all batches),8.82,6,5,SingleMalt-like,A,Scotland,Malt
116,Glenlivet Nadurra Cask Strength (NAS),8.82,3,4,SingleMalt-like,C,Scotland,Malt
117,Green Spot Chateau Leoville Barton,8.82,9,4,SingleMalt-like,C,Ireland,Blend
118,Amrut PX Sherry Single Cask (all casks),8.81,13,4,SingleMalt-like,A,India,Malt
119,Laphroaig PX Triple Matured,8.81,17,4,SingleMalt-like,C,Scotland,Malt
120,GlenDronach Cask Strength (batch 5),8.8,8,4,SingleMalt-like,A,Scotland,Malt
121,Balvenie 21yo Port Wood,8.79,18,5,SingleMalt-like,A,Scotland,Malt
122,Glen Garioch 15yo Renaissance Chapter 1,8.79,6,4,SingleMalt-like,C,Scotland,Malt
123,Kavalan Solist Port Cask,8.79,7,5,SingleMalt-like,C,Scotland,Malt
124,Royal Brackla 21yo,8.79,4,5,SingleMalt-like,C,Scotland,Malt
125,Aberlour A'Bunadh (Batch 42),8.78,3,4,SingleMalt-like,A,Scotland,Malt
126,Aberlour A'Bunadh (Batch 48),8.78,4,4,SingleMalt-like,A,Scotland,Malt
127,Bowmore 10yo Devil's Cask (all batches),8.78,18,5,SingleMalt-like,C,Scotland,Malt
128,Glenfiddich Snow Pheonix,8.78,10,6,SingleMalt-like,C,Scotland,Malt
129,Millstone 12yo Sherry Cask,8.78,8,4,SingleMalt-like,C,Netherlands,Malt
130,Arran Malt Amarone Cask Finish,8.77,13,3,SingleMalt-like,B,Scotland,Malt
131,Jura Brooklyn,8.77,6,4,SingleMalt-like,C,Scotland,Malt
132,Longrow Red 11yo Port Cask,8.77,14,4,SingleMalt-like,C,Scotland,Malt
133,Smogen Sherry Project 1:3,8.77,3,4,SingleMalt-like,C,Sweden,Malt
134,Aberlour 18yo,8.76,13,4,SingleMalt-like,A,Scotland,Malt
